Ref,Val,Package,PosX,PosY,Rot,Side
"L1","SWPA4020S3R3MT","L_Sunlord_SWPA4020S",64.400000,-23.250000,0.000000,top
"Q1","2N7002","SOT-23",27.000000,-30.500000,0.000000,top
"Q2","2N7002","SOT-23",31.000000,-32.750000,180.000000,top
"Q3","2N7002","SOT-23",56.000000,-41.000000,0.000000,top
"R3","10k","R_0603_1608Metric",50.000000,-89.000000,90.000000,top
"R4","10k","R_0603_1608Metric",30.500000,-81.750000,90.000000,top
"R5","33R","R_0603_1608Metric",41.050000,-86.750000,90.000000,top
"R6","33R","R_0603_1608Metric",39.400000,-86.750000,90.000000,top
"R7","10k","R_0603_1608Metric",30.750000,-79.250000,0.000000,top
"R8","10k","R_0603_1608Metric",14.000000,-45.000000,90.000000,top
"R9","10k","R_0603_1608Metric",14.000000,-48.500000,90.000000,top
"R10","10k","R_0603_1608Metric",14.000000,-51.000000,0.000000,top
